USAF,Site Name,State,Latitude,Longitude,TZ,Elev,Class,Pool,Latitude Difference,Longitude Difference,Product
785145,EUGENIO MARIA DE HO,PR,18.25,-67.15,-4,9,II,12,15.2442,44.7761,682.5758236
785203,MERCEDITA,PR,18,-66.55,-4,8,II,12,15.4942,45.3761,703.0663686
785260,SAN JUAN INTL ARPT,PR,18.417,-66,-4,19,II,24,15.0772,45.9261,692.4369949
785263,SAN JUAN L M MARIN INTL AP,PR,18.433,-66,-4,3,III,10,15.0612,45.9261,691.7021773
785350,ROOSEVELT ROADS,PR,18.25,-65.633,-4,12,III,10,15.2442,46.2931,705.701275
785430,CHARLOTTE AMALIE HARRY S TRUM,VI,18.35,-64.967,-4,6,II,12,15.1442,46.9591,711.1580022
911650,LIHUE AIRPORT,HI,21.983,-159.333,-10,31,I,24,11.5112,47.4069,545.7103073
911760,KANEOHE BAY MCAS,HI,21.45,-157.783,-10,3,II,12,12.0442,45.8569,552.309675
911780,BARBERS POINT NAS,HI,21.317,-158.067,-10,15,II,12,12.1772,46.1409,561.8669675
911820,HONOLULU INTL ARPT,HI,21.317,-157.933,-10,2,I,24,12.1772,46.0069,560.2352227
911860,MOLOKAI (AMOS),HI,21.15,-157.1,-10,137,II,12,12.3442,45.1739,557.6356564
911900,KAHULUI AIRPORT,HI,20.9,-156.433,-10,16,I,24,12.5942,44.5069,560.5288
911904,KAPALUA,HI,20.95,-156.633,-10,80,II,12,12.5442,44.7069,560.812295
911905,LANAI,HI,20.783,-156.95,-10,409,II,12,12.7112,45.0239,572.3077977
911975,KONA INTL AT KEAHOL,HI,19.733,-156.05,-10,15,III,10,13.7612,44.1239,607.1978127
912120,GUAM WFO,GU,13.483,144.8,10,77,II,24,20.0112,256.7261,5137.397332
912180,ANDERSEN AFB,GU,13.567,144.917,10,162,II,12,19.9272,256.8431,5118.163822
912850,HILO INTERNATIONAL AP,HI,19.717,-155.05,-10,9,I,24,13.7772,43.1239,594.1265951
